id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2498747,Rental unit in Daan District · ★4.80 · 1 bedroom · 2 beds · 2 shared baths,3958878,Banana Co-Living,,大安區,25.0339,121.5265,Private room,500,30,5,2015-10-04,0.04,7,365,0,
2498893,Rental unit in Daan District · ★4.80 · 1 bedroom · 4 beds · 2 shared baths,3958878,Banana Co-Living,,大安區,25.0344,121.52626,Shared room,300,30,15,2016-07-18,0.13,7,365,0,
2502220,Rental unit in Taipei City · ★4.90 · 2 bedrooms · 2 beds · 1 bath,51827,Jan,,大安區,25.03129,121.53216,Entire home/apt,5320,4,112,2023-12-20,0.94,13,153,30,
2540136,Rental unit in Taipei City · ★4.89 · 1 bedroom · 2 beds · 1 bath,51827,Jan,,大安區,25.03176,121.53057,Entire home/apt,3980,4,95,2023-12-11,0.80,13,207,19,
2553760,Rental unit in Shilin District · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,13075769,Rose,,士林區,25.09648,121.52403,Private room,1973,5,101,2019-12-31,0.85,3,280,0,
2637590,Rental unit in Zhongshan District · ★4.43 · 1 bedroom · 1 bed · 1 bath,906344,Lily,,中山區,25.05264,121.52123,Entire home/apt,3207,5,114,2023-12-13,0.96,23,88,7,
2668859,Rental unit in 台北 · ★4.57 · 1 bedroom · 1 bed · 1 bath,7121137,Billy,,北投區,25.11701,121.5138,Entire home/apt,2076,8,129,2023-12-20,1.09,2,84,3,
2674624,Rental unit in Nangang District · ★4.27 · 1 bedroom · 10 beds · 4.5 shared baths,1597675,The Meeting Place,,南港區,25.04982,121.58034,Shared room,379,30,11,2016-03-17,0.10,7,90,0,
2678719,Rental unit in Nangang District · 1 bedroom · 4 beds · 6.5 shared baths,1597675,The Meeting Place,,南港區,25.05141,121.58158,Shared room,343,30,1,2016-08-31,0.01,7,180,0,
2688016,Bungalow in Beitou District · ★4.59 · 1 bedroom · 2 beds · 1.5 baths,5559414,Ej & Mt,,北投區,25.1243,121.46484,Entire home/apt,3039,30,22,2022-11-21,0.19,2,175,0,
2753686,Loft in Da’an District · ★4.74 · 2 bedrooms · 3 beds · 1 bath,9018856,Vivian,,大安區,25.0286,121.54749,Entire home/apt,3946,28,186,2023-07-30,1.61,1,144,3,
2808340,Rental unit in Daan District · ★4.84 · 1 bedroom · 2 beds · 1 bath,51827,Jan,,大安區,25.03143,121.52974,Entire home/apt,3806,3,68,2023-12-22,0.58,13,161,16,
2825826,Rental unit in Daan District · ★4.86 · 2 bedrooms · 2 beds · 2 baths,51827,Jan,,大安區,25.03174,121.53028,Entire home/apt,6643,4,96,2023-12-30,0.84,13,148,21,
2870824,Rental unit in Taipei City · ★4.94 · 1 bedroom · 2 beds · 1 bath,51827,Jan,,大安區,25.02982,121.53054,Entire home/apt,3829,3,85,2023-12-28,0.73,13,174,23,
2886183,Condo in Wenshan District · 2 bedrooms · 3 beds · 1 bath,512958,Lin,,文山區,24.996610491118215,121.56262346167185,Entire home/apt,5230,5,2,2023-12-03,0.18,1,189,2,
2969214,Rental unit in Wenshan District · 2 bedrooms · 1 bed · 1 bath,8478209,Eric,,文山區,25.00622,121.55911,Entire home/apt,17143,3,1,2015-04-29,0.01,15,365,0,
3028074,Condo in Songshan District · ★4.82 · 1 bedroom · 1 bed · 1 bath,14475460,Rebecca,,松山區,25.04946,121.5765,Entire home/apt,1892,28,274,2023-12-25,2.39,3,123,7,
3062366,Condo in Songshan District · ★4.91 · 2 bedrooms · 2 beds · 2 baths,7767966,Kai Muo,,松山區,25.05974,121.54491,Entire home/apt,7000,4,77,2023-12-22,0.67,1,122,7,
3070785,Rental unit in Wanhua District · ★5.0 · 1 bedroom · 1 bed · 1 private bath,5745433,茱莉Julie 姐,,萬華區,25.0440857,121.5028873,Private room,1564,4,10,2023-12-20,0.80,4,135,9,
3106555,Home in 大安區 · ★4.84 · 1 bedroom · 1 bed · 1 bath,12341333,Wonda,,大安區,25.02654,121.53376,Entire home/apt,2009,6,178,2023-11-22,1.53,2,209,9,
3137375,Home in Songshan District · 2 bedrooms · 1 bed · 1 shared bath,6263263,Shaun,,松山區,25.05537,121.54724,Private room,2460,1,2,2016-12-31,0.02,3,365,0,
3186548,Condo in Da’an District · ★4.54 · 1 bedroom · 1 bed · 1 bath,5247611,Fiona,,大安區,25.03484,121.55672,Entire home/apt,2071,3,59,2023-12-27,0.52,3,270,20,
3214180,Condo in Daan District · ★4.81 · 4 bedrooms · 4 beds · 2 baths,1398361,Second,,大安區,25.0411,121.55374,Entire home/apt,4866,1,139,2023-12-29,1.20,8,153,24,
3276799,Serviced apartment in Zhongshan District · ★4.73 · 1 bedroom · 2 beds · 1 private bath,10007698,Kiki,,中山區,25.05944,121.53315,Hotel room,4511,4,243,2023-12-14,2.10,26,74,25,
3304239,Rental unit in Songshan District · ★4.84 · 1 bedroom · 1 bed · 1.5 baths,943278,Joy,,松山區,25.0499,121.57453,Entire home/apt,2017,55,55,2017-07-31,0.48,1,121,0,
3399891,Loft in Daan District · ★4.80 · Studio · 1 bed · 1 bath,17148416,Philips,,大安區,25.02643,121.5286,Entire home/apt,30000,31,10,2023-08-19,0.09,8,192,2,
3499060,Rental unit in 信義區 · ★5.0 · 1 bedroom · 1 bed · 1 bath,8478209,Eric,,信義區,25.04123,121.56736,Private room,10800,3,3,2019-01-01,0.04,15,90,0,
3840606,Rental unit in 松山區 · ★4.84 · 1 bedroom · 1 bed · 1 bath,10007698,Kiki,,中山區,25.05031,121.54305,Entire home/apt,3394,2,180,2023-12-03,1.60,26,70,18,
3870579,Condo in 台北市 · ★4.67 · 2 bedrooms · 2 beds · 1.5 baths,14438235,尹碩,,信義區,25.0203,121.55753,Entire home/apt,2606,2,95,2023-08-27,0.84,1,315,2,
3879242,Home in Shilin District · ★4.92 · 1 bedroom · 2 beds · 1 private bath,14665606,Alan,,士林區,25.09349,121.52388,Private room,2621,2,111,2023-12-30,1.56,4,285,32,
3919250,Rental unit in Datong District · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,20302753,Sammy,,大同區,25.05371,121.51119,Entire home/apt,2600,30,4,2017-12-31,0.04,1,68,0,
3933100,Rental unit in 萬華區 · ★4.68 · 1 bedroom · 2 beds · 1 bath,22105084,Lyna,,萬華區,25.04242,121.50237,Entire home/apt,3143,28,65,2017-02-01,0.58,3,178,0,
3975942,Rental unit in Da’an District · Studio · 1 bed · 1 private bath,17148416,Philips,,大安區,25.02248,121.5285,Private room,19000,31,2,2023-07-09,0.04,8,238,1,
4014018,Condo in Da’an District · ★4.69 · 1 bedroom · 2 beds · 1.5 baths,19549739,Mike,,大安區,25.0407,121.55377,Entire home/apt,1867,7,128,2023-12-26,1.14,3,306,17,
